X,Y,Label
0.52747,0.57452,a
0.8542,0.28184,a
1.3418,1.1393,a
-2.4995,-0.42587,a
-0.16756,0.63614,a
0.35302,0.79318,a
0.71725,-0.89838,a
-1.3049,0.15624,a
-1.0059,1.5973,a
0.79068,0.11244,a
-0.11657,-0.30862,a
0.55309,0.45666,a
-0.96064,-0.2751,a
-1.6338,0.44314,a
0.7612,-0.13477,a
1.1933,-0.018328,a
1.6321,0.46079,a
-1.5322,1.3623,a
-1.3369,0.45187,a
-1.4738,1.6484,a
-0.041663,-2.0284,a
-0.61551,-0.44926,a
1.3142,0.23599,a
-1.4551,-0.83517,a
-1.7423,-1.276,a
0.2053,0.61704,a
1.1929,0.6127,a
-0.80282,0.28938,a
-1.2656,0.39532,a
-0.14933,-0.87056,a
-1.6364,-0.49769,a
0.017344,-0.10667,a
0.82839,-0.68783,a
0.21774,0.33188,a
-1.9092,2.3652,a
-0.53682,-0.48223,a
-0.30203,0.64745,a
1.8136,-1.0344,a
0.91485,1.3396,a
-0.057081,-0.96914,a
1.3094,0.20872,a
-1.0447,-0.61859,a
-0.34827,0.51202,a
1.4126,0.011354,a
1.5024,-0.043989,a
0.73038,2.9491,a
0.49075,-0.63005,a
-0.58613,-0.046879,a
0.7449,2.683,a
-0.82815,-1.1467,a
10.53,1.0517,b
-5.7646,12.115,b
15.306,5.0317,b
8.2753,8.4324,b
11.521,0.72533,b
2.2114,-0.37618,b
7.4519,4.5452,b
19.725,3.7361,b
-17.751,10.974,b
-11.333,8.0303,b
9.1547,7.7026,b
-1.5477,-2.2247,b
2.0365,0.16153,b
-9.9692,6.0103,b
-4.0483,3.2606,b
0.95818,11.45,b
-2.258,11.706,b
-3.6649,2.096,b
0.78153,9.3757,b
-4.4267,11.977,b
18.419,6.6049,b
-4.8843,13.117,b
23.179,10.312,b
1.2556,6.0705,b
-9.5174,9.384,b
-1.1868,5.972,b
14.345,2.9255,b
15.559,6.7923,b
6.6023,5.1811,b
7.874,3.1768,b
11.329,13.855,b
-9.5904,6.1064,b
-0.8171,18.652,b
-13.301,3.5192,b
0.50897,7.8215,b
14.493,12.913,b
12.174,18.646,b
27.878,6.5178,b
6.6673,1.0487,b
-16.565,9.0169,b
21.894,-1.5995,b
17.823,3.6308,b
-0.82631,6.3593,b
7.2261,12.448,b
12.795,12.186,b
8.8471,4.8622,b
11.964,9.6197,b
3.8728,3.3936,b
4.6118,8.3056,b
5.8809,14.576,b
