X,Y,Label
-0.93548,-0.40924,a
-0.15271,-0.63089,a
-1.7004,-0.73382,a
-0.38325,0.13789,a
0.98885,-0.16587,a
-1.7457,0.39424,a
0.39085,-0.028347,a
-1.352,-0.10484,a
0.21899,-0.86073,a
-0.45029,-0.38773,a
-0.27853,0.052215,a
-1.6039,-0.21407,a
-0.91107,0.63752,a
-0.19302,-0.91572,a
0.071679,-0.090599,a
-0.19131,0.057288,a
-0.64123,-0.36118,a
1.3286,0.056001,a
-0.19446,0.83063,a
-0.7759,-0.52519,a
-0.75865,-0.17544,a
-0.075599,-0.70954,a
0.929,0.36397,a
-0.42457,-0.60303,a
0.87157,-0.4291,a
0.22652,0.71148,a
-0.56333,0.41171,a
-0.81722,-0.37799,a
0.17734,0.50827,a
-0.10333,-0.32955,a
-0.90499,0.053014,a
-0.79434,0.91718,a
0.53913,1.1286,a
0.52166,-0.22158,a
-0.3114,-0.015005,a
0.82613,0.51955,a
-0.34994,0.30376,a
-0.1155,-0.11651,a
1.2348,-0.10473,a
-0.53992,-0.39201,a
-2.043,-1.136,a
-1.2889,-0.078326,a
0.29085,-0.59893,a
-0.21579,-0.11397,a
2.7513,1.2341,a
-1.4151,0.016943,a
-0.24387,0.75476,a
0.040251,-0.55536,a
-1.3738,0.63779,a
1.0792,-0.83681,a
0.74393,-0.13996,a
1.5429,0.14538,a
0.68752,0.31005,a
-3.5502,-0.062131,a
-0.96705,-0.54111,a
0.31179,-0.60884,a
-0.81507,-0.36108,a
0.28337,-0.50958,a
-0.066238,-0.28954,a
-0.5475,-0.47526,a
0.068056,0.62103,a
0.51297,0.13496,a
1.1431,0.14173,a
-0.89395,-0.41949,a
-0.57177,0.13841,a
-0.72064,0.16151,a
0.8479,-0.46802,a
1.5726,-0.59459,a
1.0557,-0.96747,a
1.341,0.4364,a
0.24928,-0.50607,a
-0.80171,0.023369,a
0.67975,0.041555,a
1.7264,0.045608,a
0.50606,-0.3191,a
0.92921,-0.11318,a
-1.5435,-0.15346,a
0.57106,0.67479,a
-0.15392,-0.57809,a
0.55333,-0.10296,a
1.2768,0.5332,a
-0.63941,0.21053,a
1.5059,-0.5441,a
-0.94339,0.39658,a
0.040832,-1.3509,a
0.30696,-0.24629,a
1.0668,0.78387,a
-0.32315,0.24923,a
-0.93587,0.3958,a
1.4166,-0.046477,a
0.36264,-0.19011,a
-1.9137,0.34796,a
0.31992,1.1585,a
-1.7006,-0.1342,a
0.79092,0.71851,a
1.3872,-0.26965,a
-0.18278,-0.21504,a
-0.90839,0.32537,a
1.2269,-0.45103,a
-0.5107,0.47114,a
-4.6833,-6.0523,b
-5.4207,1.2584,b
-3.1589,3.016,b
-2.6711,7.992,b
-1.7246,-10.254,b
-2.8803,4.1463,b
-2.0456,-0.81078,b
-2.7594,-0.37655,b
-2.3205,-2.812,b
-3.9688,1.1708,b
-3.0764,-1.2931,b
-3.5978,-3.0938,b
-3.237,-2.693,b
-0.70335,3.0814,b
-4.4042,2.4581,b
-2.9658,5.5031,b
-3.3209,1.8147,b
-2.6206,-0.72947,b
-1.2073,-5.6919,b
-2.0877,1.5739,b
-3.6569,-1.5329,b
-4.4338,1.1076,b
-2.152,4.3729,b
-3.9921,-2.4642,b
-3.7153,-2.4113,b
-2.5346,-1.296,b
-4.5224,1.063,b
-1.4438,10.185,b
-2.8972,-4.3645,b
-3.2341,6.6996,b
-2.1922,-1.0772,b
-2.1938,4.4895,b
-3.2492,0.29853,b
-1.8977,-2.6711,b
-2.6327,-1.296,b
-1.9,4.7944,b
-2.7365,6.3339,b
-3.1911,4.8051,b
-1.2513,-2.8188,b
-3.7832,-6.4441,b
-2.3669,2.0043,b
-0.97761,2.6399,b
-3.4133,-12.563,b
-2.3654,0.12115,b
-2.6804,10.478,b
-3.3482,-0.94218,b
-3.0036,-3.221,b
-2.3822,-5.0388,b
-0.67152,-9.0548,b
-2.1136,-2.4472,b
-3.2441,1.5071,b
-4.9731,-4.9195,b
-2.7509,1.2673,b
-2.739,3.9398,b
-3.7915,-2.9665,b
-1.9907,2.461,b
-2.6091,2.8274,b
-2.4131,-0.21403,b
-3.4862,9.7822,b
-3.6839,-6.361,b
-3.4674,1.3753,b
-4.1106,-4.6337,b
-3.5225,-3.6088,b
-2.2732,2.2049,b
-5.2553,5.4645,b
-4.772,0.85052,b
-2.9734,6.5242,b
-2.6715,-4.6507,b
-3.9488,1.6908,b
-2.4636,-2.6545,b
-1.741,-3.7868,b
-2.3163,-13.158,b
-4.5634,3.8009,b
-3.7306,9.3743,b
-3.8538,2.4982,b
-3.3388,6.8816,b
-3.6713,0.2949,b
-3.8416,-6.1521,b
-1.0901,-4.3624,b
-3.333,-4.0133,b
-3.1524,5.5119,b
-2.7136,-2.4018,b
-4.7322,0.45721,b
-4.1416,-6.6657,b
-2.5301,-0.91532,b
-2.6486,-8.1293,b
-4.161,-3.5121,b
-1.8743,3.7975,b
-3.0667,8.5483,b
-2.8583,2.4272,b
-2.8907,0.48619,b
-3.55,5.3663,b
-4.8313,3.6401,b
-3.1309,-12.244,b
-4.565,-8.9578,b
-3.1647,-4.1668,b
-2.7927,-4.368,b
-2.802,-8.0012,b
-4.3863,-3.3913,b
-2.6334,-4.6559,b
1.1002,19.4,b
-0.60998,19.148,b
-1.276,20.794,b
-0.41627,19.891,b
-0.68497,18.447,b
0.26216,22.171,b
-0.23129,19.658,b
-1.4855,20.271,b
0.58032,20.355,b
-0.36395,18.693,b
