X,Y,Label
-0.64071,0.17695,a
1.8089,-0.3075,a
-1.0799,-0.13182,a
0.19919,0.59536,a
-1.521,1.0468,a
-0.72363,-0.19796,a
-0.59325,0.32768,a
0.40134,-0.2383,a
0.94213,0.2296,a
0.30049,0.44,a
-0.37307,-0.61687,a
0.81549,0.27484,a
0.79889,0.6011,a
0.12021,0.092308,a
0.57125,1.7298,a
0.4128,-0.60856,a
-0.98696,-0.73706,a
0.75957,-1.7499,a
-0.6572,0.91048,a
-0.60392,0.86708,a
0.92011,-1.2833,b
1.8985,-2.329,b
1.1837,0.90193,b
1.2908,-1.8356,b
1.1129,0.066757,b
1.44,0.035479,b
1.1017,2.2272,b
3.7873,-0.069214,b
-0.16667,-0.50732,b
-0.8543,0.23581,b
-0.14068,0.2458,b
-0.093343,0.070045,b
0.56639,-0.60858,b
0.83153,-1.2226,b
0.78147,0.3165,b
1.5413,-1.3429,b
1.3893,-1.0322,b
1.7512,1.3312,b
2.7783,-0.4189,b
2.2231,-0.14032,b
