X,Y,label
0.89982,-0.41397,a
-0.30011,-0.43827,a
1.0294,2.0034,a
-0.34507,0.95099,a
1.0128,-0.432,a
0.62933,0.64894,a
-0.21302,-0.36008,a
-0.8657,0.70589,a
-1.0431,1.4158,a
-0.27007,-1.6045,a
-0.43814,1.0289,a
-0.40867,1.458,a
0.98355,0.047471,a
-0.2977,1.7463,a
1.1437,0.15539,a
-0.53162,-1.2371,a
0.97257,-2.1935,a
-0.52225,-0.33341,a
0.17658,0.71354,a
0.97074,0.31741,a
10.414,10.476,b
9.4229,11.412,b
10.144,10.023,b
8.3613,9.9521,b
9.2399,11.701,b
9.1812,9.4903,b
10.52,9.9971,b
9.9858,10.92,b
8.8445,10.15,b
9.9905,11.405,b
9.3102,11.034,b
9.3333,10.292,b
10.864,9.2223,b
10.113,10.567,b
10.398,8.6174,b
10.884,10.244,b
10.18,10.808,b
10.551,10.213,b
10.683,10.88,b
11.171,12.039,b
