X,Y
0.89982,-0.41397
-0.30011,-0.43827
1.0294,2.0034
-0.34507,0.95099
1.0128,-0.432
0.62933,0.64894
-0.21302,-0.36008
-0.8657,0.70589
-1.0431,1.4158
-0.27007,-1.6045
-0.43814,1.0289
-0.40867,1.458
0.98355,0.047471
-0.2977,1.7463
1.1437,0.15539
-0.53162,-1.2371
0.97257,-2.1935
-0.52225,-0.33341
0.17658,0.71354
0.97074,0.31741
10.414,10.476
9.4229,11.412
10.144,10.023
8.3613,9.9521
9.2399,11.701
9.1812,9.4903
10.52,9.9971
9.9858,10.92
8.8445,10.15
9.9905,11.405
9.3102,11.034
9.3333,10.292
10.864,9.2223
10.113,10.567
10.398,8.6174
10.884,10.244
10.18,10.808
10.551,10.213
10.683,10.88
11.171,12.039
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
100,100
